Board,URL,Est. Listings,Operator,Monetization,Freshness Risk,Notes
ClimateBase,https://climatebase.org,2000-5000,Small nonprofit team,Donations/grants,Very High,"Aggregates from hundreds of climate company career pages. Can't track closures in real-time."
ClimateTechList,https://climatetechlist.com,1000-3000,Solo/indie project,Minimal/passion project,Very High,"Entirely automated scraping. Links break constantly, pages restructure."
Startup.jobs,https://startup.jobs,3000-10000,Small team,Paid featured listings,Very High,"Aggregates startup roles. Startups are the worst at updating boards when roles close."
RemoteOK,https://remoteok.com,5000-10000,Pieter Levels (solo),Paid postings + ads,High,"Massive volume, listings accumulate. One-man operation can't manually audit."
Himalayas,https://himalayas.app,1000-2000,Small indie team,Freemium/paid features,High,"Auto-aggregates from company career pages. Same architecture as BuildList."
Wellfound (AngelList),https://wellfound.com,50000+,Medium company,Freemium/recruiter tools,Very High,"Notorious for ghost listings. Startups post then pivot/die without removing roles."
Remotive,https://remotive.com,1000-3000,Small team (Rodolphe Dutel),Paid postings/newsletter,High,"Aggregates remote jobs from many sources. Known stale listing issue."
80000 Hours,https://80000hours.org/job-board,300-800,Small nonprofit (EA-aligned),Donations,High,"Curated list linking to external org pages that go dead. Manual curation can't keep up."
Escape the City,https://escapethecity.org,500-1500,Small UK team,Paid listings/membership,High,"Meaningful work board. Aggregates from impact orgs that don't update postings."
4 Day Week,https://4dayweek.io,300-1000,Small indie team,Paid featured listings,High,"Niche board. Roles close but listings persist."
NoDesk,https://nodesk.co,500-1500,Small indie team,Affiliate/sponsored,High,"Aggregates remote jobs from multiple sources."
Working Nomads,https://workingnomads.com,500-1000,Small team / side project,Newsletter sponsorships,High,"Curates/aggregates from various sources. Low update cadence."
Key Values,https://keyvalues.com,200-500,Solo (Lynne Tye),Paid company profiles,High,"Small operation means less capacity to audit whether listed roles are still open."
Tech Jobs for Good,https://techjobsforgood.com,500-1500,Small team,Paid listings,High,"Aggregates from nonprofit/social impact orgs that rarely update postings."
People-First Jobs,https://peoplefirstjobs.com,200-500,Small team,Paid listings,High,"Curated board focused on ethical companies. Limited resources for freshness."
Cryptocurrency Jobs,https://cryptocurrencyjobs.co,500-2000,Small team,Paid postings,Very High,"Crypto companies are volatile. Roles appear/disappear rapidly but board lags."
Coroflot,https://coroflot.com/design-jobs,1000-3000,Small team (since 1998),Paid postings,High,"Long-running design board. Companies post and forget. Periods of low maintenance."
Authentic Jobs,https://authenticjobs.com,200-500,Small team / side project,Paid postings,Moderate,"Paid listings expire but board has periods of low maintenance."
HN Who is Hiring (aggregators),https://hnhiring.com,Hundreds/month,Various solo devs,Side projects/ads,Very High,"Monthly threads go stale within days as roles fill. Aggregators keep old threads indexed."
